ID	Year_Birth	Education	Marital_Status	Income	Kidhome	Teenhome	Dt_Customer	Recency	MntWines	MntFruits	MntMeatProducts	MntFishProducts	MntSweetProducts	MntGoldProds	NumDealsPurchases	NumWebPurchases	NumCatalogPurchases	NumStorePurchases	NumWebVisitsMonth	AcceptedCmp3	AcceptedCmp4	AcceptedCmp5	AcceptedCmp1	AcceptedCmp2	Complain	Z_CostContact	Z_Revenue	Response
5524 1957 2 0 58138 0 0 734654 58 635 88 546 172 88 88 3 8 10 4 7 0 0 0 0 0 0 3 11 1 
2174 1954 2 0 46344 1 1 735208 38 11 1 6 2 1 6 2 1 1 2 5 0 0 0 0 0 0 3 11 0 
4141 1965 2 3 71613 0 0 735006 26 426 49 127 111 21 42 1 8 2 10 4 0 0 0 0 0 0 3 11 0 
6182 1984 2 3 26646 1 0 735180 26 11 4 20 10 3 5 2 2 0 4 6 0 0 0 0 0 0 3 11 0 
5324 1981 4 4 58293 1 0 735159 94 173 43 118 46 27 15 5 5 3 6 5 0 0 0 0 0 0 3 11 0 
7446 1967 3 3 62513 0 1 735024 16 520 42 98 0 42 14 2 6 4 10 6 0 0 0 0 0 0 3 11 0 
965 1971 2 1 55635 0 1 734723 34 235 65 164 50 49 27 4 7 3 7 6 0 0 0 0 0 0 3 11 0 
6177 1985 4 4 33454 1 0 734903 32 76 10 56 3 1 23 2 4 0 4 8 0 0 0 0 0 0 3 11 0 
4855 1974 4 3 30351 1 0 734931 19 14 0 24 3 3 2 1 3 0 2 9 0 0 0 0 0 0 3 11 1 
5899 1950 4 3 5648 1 1 735213 68 28 0 6 1 1 13 1 1 0 0 20 1 0 0 0 0 0 3 11 0 
1994 1983 2 4 1 0 735090 11 5 5 6 0 2 1 1 1 0 2 7 0 0 0 0 0 0 3 11 0 
387 1976 0 4 7500 0 0 734723 59 6 16 11 11 1 16 1 2 0 3 8 0 0 0 0 0 0 3 11 0 
2125 1959 2 1 63033 0 0 735090 82 194 61 480 225 112 30 1 3 4 8 2 0 0 0 0 0 0 3 11 0 
8180 1952 3 1 59354 1 1 735090 53 233 2 53 3 5 14 3 6 1 5 6 0 0 0 0 0 0 3 11 0 
2569 1987 2 4 17323 0 0 734690 38 3 14 17 6 1 5 1 1 0 3 8 0 0 0 0 0 0 3 11 0 
2114 1946 4 0 82800 0 0 734734 23 1006 22 115 59 68 45 1 7 6 12 3 0 0 1 1 0 0 3 11 1 
9736 1980 2 4 41850 1 1 734764 51 53 5 19 2 13 4 3 3 0 3 8 0 0 0 0 0 0 3 11 0 
4939 1946 2 3 37760 0 0 734651 20 84 5 38 150 12 28 2 4 1 6 7 0 0 0 0 0 0 3 11 0 
6565 1949 3 4 76995 0 1 734863 91 1012 80 498 0 16 176 2 11 4 9 5 0 0 0 1 0 0 3 11 0 
2278 1985 1 0 33812 1 0 734713 86 4 17 19 30 24 39 2 2 1 3 6 0 0 0 0 0 0 3 11 0 
9360 1982 2 4 37040 0 0 734628 41 86 2 73 69 38 48 1 4 2 5 8 0 0 0 0 0 0 3 11 0 
5376 1979 2 4 2447 1 0 734781 42 1 1 1725 1 1 1 15 0 28 0 1 0 0 0 0 0 0 3 11 0 
1993 1949 4 4 58607 0 1 734763 63 867 0 86 0 0 19 3 2 3 9 8 0 1 0 0 0 0 3 11 0 
4047 1954 4 4 65324 0 1 735151 0 384 0 102 21 32 5 3 6 2 9 4 0 0 0 0 0 0 3 11 0 
1409 1951 2 3 40689 0 1 734853 69 270 3 27 39 6 99 7 7 1 5 8 0 0 0 0 0 0 3 11 0 
7892 1969 2 0 18589 0 0 734777 89 6 4 25 15 12 13 2 2 1 3 7 0 0 0 0 0 0 3 11 0 
2404 1976 2 4 53359 1 1 734922 4 173 4 30 3 6 41 4 5 1 4 7 0 0 0 0 0 0 3 11 0 
5255 1986 2 0 1 0 734825 19 5 1 3 3 263 362 0 27 0 0 1 0 0 0 0 0 0 3 11 0 
9422 1989 2 4 38360 1 0 734926 26 36 2 42 20 21 10 2 2 1 4 3 0 0 0 0 0 0 3 11 0 
1966 1965 4 4 84618 0 0 735097 96 684 100 801 21 66 0 1 6 9 10 2 0 0 1 0 0 0 3 11 0 
6864 1989 3 1 10979 0 0 735282 34 8 4 10 2 2 4 2 3 0 3 5 0 0 0 0 0 0 3 11 0 
3033 1963 3 3 38620 0 0 734906 56 112 17 44 34 22 89 1 2 5 3 3 0 0 0 0 0 0 3 11 0 
5710 1970 2 3 40548 0 1 734690 31 110 0 5 2 0 3 2 2 1 4 5 0 1 0 0 0 0 3 11 0 
7373 1952 4 1 46610 0 2 734709 8 96 12 96 33 22 43 6 4 1 6 6 0 0 0 0 0 0 3 11 1 
8755 1946 3 4 68657 0 0 734825 4 482 34 471 119 68 22 1 3 5 9 7 0 0 0 0 0 0 3 11 0 
10738 1951 3 0 49389 1 1 735014 55 40 0 19 2 1 3 1 2 0 3 7 0 0 0 0 0 0 3 11 0 
4339 1970 4 4 67353 0 1 735136 37 702 17 151 0 8 35 5 5 6 12 2 0 0 0 0 0 0 3 11 0 
10755 1976 1 4 23718 1 0 735017 76 6 3 14 15 7 36 3 3 1 2 7 0 0 0 0 0 0 3 11 0 
8595 1973 2 2 42429 0 1 735181 99 55 0 6 2 0 4 2 1 1 3 5 0 0 0 0 0 0 3 11 0 
2968 1943 4 1 48948 0 0 734806 53 437 8 206 160 49 42 2 7 10 5 6 1 0 0 0 0 0 3 11 1 
8601 1980 2 4 80011 0 1 734894 3 421 76 536 82 178 102 2 8 6 5 4 0 0 0 0 0 0 3 11 0 
503 1985 3 4 20559 1 0 734847 88 13 1 29 3 0 7 2 2 0 3 8 0 0 0 0 0 0 3 11 0 
8430 1957 2 3 21994 0 1 734764 4 9 0 6 3 1 3 1 0 0 3 5 0 0 0 0 0 0 3 11 0 
7281 1959 4 0 0 0 735080 80 81 11 50 3 2 39 1 1 3 4 2 0 0 0 0 0 0 3 11 0 
2139 1975 3 4 7500 1 0 735047 19 3 1 10 3 2 12 3 2 0 3 5 0 0 0 0 0 0 3 11 0 
1371 1976 2 0 79941 0 0 735318 72 123 164 266 227 30 174 1 2 4 9 1 0 0 0 0 0 0 3 11 0 
9909 1996 1 4 7500 0 0 734719 24 3 18 14 15 22 50 3 3 1 3 9 0 0 0 0 0 0 3 11 1 
7286 1968 2 3 41728 1 0 734919 92 13 6 15 3 5 13 1 2 0 2 10 0 0 0 0 0 0 3 11 0 
7244 1951 2 0 2 1 735141 96 48 5 48 6 10 7 3 2 1 4 6 0 0 0 0 0 0 3 11 0 
6566 1954 4 4 72550 1 1 734718 39 826 50 317 50 38 38 9 5 2 12 8 0 0 0 0 0 0 3 11 0 
8614 1957 2 2 65486 0 1 735272 29 245 19 125 37 67 14 1 4 2 10 2 0 0 0 0 0 0 3 11 0 
4114 1964 3 4 79143 0 0 734631 2 650 37 780 27 167 32 1 6 9 13 3 0 0 0 0 0 0 3 11 0 
1331 1977 2 0 35790 1 0 734777 54 12 6 20 30 1 3 2 2 0 3 7 0 0 0 0 0 0 3 11 0 
2225 1977 2 1 82582 0 0 735297 54 510 120 550 156 40 241 1 4 9 7 1 1 0 0 1 0 0 3 11 1 
9381 1978 2 4 66373 1 1 734937 57 328 9 124 12 24 109 7 4 2 10 3 0 0 0 0 0 0 3 11 0 
6260 1955 3 3 82384 0 0 734729 55 984 51 432 180 120 190 1 3 10 13 1 0 0 1 0 0 0 3 11 1 
10383 1966 2 1 70287 0 0 734867 30 295 35 482 121 120 40 1 5 5 10 3 0 0 0 0 0 0 3 11 1 
7437 1988 2 0 27938 1 0 735258 31 13 0 8 2 1 5 1 1 0 4 3 0 0 0 0 0 0 3 11 0 
8557 1982 2 0 1 0 734942 57 11 3 22 2 2 6 2 2 0 3 6 0 0 0 0 0 0 3 11 0 
8375 1968 4 4 55954 0 1 735203 63 447 0 28 0 0 43 3 8 2 6 7 0 0 0 0 0 0 3 11 0 
6853 1982 3 0 75777 0 0 734959 12 712 26 538 69 13 80 1 3 6 11 1 0 1 1 0 0 0 3 11 1 
3076 1975 2 3 66653 1 1 734657 18 452 18 102 16 18 6 4 4 2 12 3 0 0 0 0 0 0 3 11 0 
1012 1952 2 0 61823 0 1 734823 26 523 7 134 37 14 169 4 8 2 10 7 0 0 0 0 0 0 3 11 0 
6518 1951 4 2 67680 0 1 734936 8 546 0 48 0 6 6 1 7 3 8 5 0 0 0 0 0 0 3 11 0 
4137 1948 2 3 70666 0 0 735111 29 398 40 367 119 122 30 1 7 4 4 4 0 0 0 0 0 0 3 11 0 
8082 1971 2 4 25721 1 0 734916 75 1 3 6 3 6 15 1 1 1 2 7 0 0 0 0 0 0 3 11 1 
1386 1967 2 3 32474 1 1 735271 0 10 0 1 0 0 0 1 1 0 2 7 0 0 0 0 0 0 3 11 0 
9369 1979 1 0 88194 0 1 735219 19 688 14 309 201 24 38 1 11 10 10 5 1 0 0 1 0 0 3 11 1 
4477 1958 2 3 69096 0 1 735042 4 247 49 159 7 82 109 1 5 2 10 4 0 0 0 0 0 0 3 11 0 
1357 1970 2 3 74854 1 2 734873 90 856 59 487 58 29 73 7 2 5 5 5 0 0 0 0 0 0 3 11 0 
1402 1954 3 4 66991 0 0 734661 1 496 36 460 189 60 12 3 4 8 6 3 0 0 0 0 0 0 3 11 0 
10629 1973 1 4 1 0 734664 25 25 3 43 17 4 17 3 3 0 3 8 0 0 0 0 0 0 3 11 0 
6312 1959 2 4 65031 0 1 734852 29 258 107 291 84 37 86 4 10 3 13 7 0 0 0 0 0 0 3 11 0 
8132 1975 4 4 60631 1 1 734870 88 565 6 65 0 6 19 5 9 2 8 7 0 1 0 0 0 0 3 11 0 
1050 1952 2 4 28332 0 0 735260 58 14 10 13 4 15 9 1 2 1 4 2 0 0 0 0 0 0 3 11 0 
5846 1977 2 1 40246 1 0 734759 68 2 1 6 2 1 1 1 1 0 2 6 0 0 0 0 0 0 3 11 0 
1859 1972 3 4 75251 0 0 734647 34 721 111 925 97 18 18 1 7 6 5 5 0 0 0 0 0 0 3 11 1 
7503 1976 2 0 75825 0 0 734692 40 1032 105 779 137 105 51 0 5 8 9 4 1 0 0 0 0 0 3 11 1 
10401 1976 1 3 26326 0 0 735019 12 1 0 5 0 3 9 1 0 0 3 3 0 0 0 0 0 1 3 11 0 
1618 1965 2 3 56046 0 0 734777 9 577 0 64 0 0 51 2 10 1 8 8 1 0 0 0 0 0 3 11 1 
3332 1985 2 0 29760 1 0 734649 87 64 4 68 7 5 17 4 3 1 4 8 0 0 0 0 0 0 3 11 0 
2261 1969 2 4 26304 1 0 734948 5 4 1 5 2 0 4 1 1 0 2 7 0 0 0 0 0 0 3 11 0 
5346 1973 1 4 23559 1 0 734958 87 25 5 19 7 0 23 3 3 0 3 7 0 0 0 0 0 0 3 11 0 
4119 1963 3 3 38620 0 0 734906 56 112 17 44 34 22 89 1 2 5 3 3 0 0 0 0 0 0 3 11 0 
535 1987 2 1 81361 0 0 735195 18 163 23 424 27 65 76 1 3 10 13 1 0 0 0 0 0 0 3 11 0 
5268 1960 2 4 29440 1 1 734996 95 17 8 14 10 4 3 2 1 0 4 7 0 0 0 0 0 0 3 11 0 
273 1970 3 4 36138 1 1 734971 48 130 0 16 0 0 5 5 3 1 4 7 0 1 0 0 0 0 3 11 0 
4452 1957 2 0 50388 0 1 735288 3 292 6 37 0 3 34 4 6 1 6 7 0 1 0 1 0 0 3 11 1 
8504 1973 2 4 79593 0 0 735272 70 350 60 568 110 133 145 1 5 6 7 2 0 0 1 0 0 0 3 11 0 
